"STATION","DATE","DT32","SNOW","TMIN"
"USW00024127","2013-06","0","0.0","60.8"
"USW00024127","2013-07","0","0.0","71.2"
"USW00024127","2013-08","0","0.0","70.8"
"USW00024127","2013-09","0","0.0","59.9"
"USW00024127","2013-10","0","0.0","41.2"
"USW00024127","2013-11","11","3.5","34.4"
"USW00024127","2013-12","28","19.2","16.9"
"USW00024127","2014-01","29","10.1","21.9"
"USW00024127","2014-02","10","2.2","33.6"
"USW00024127","2014-03","2","0.5","38.4"
"USW00024127","2014-04","3","0.0","40.4"
"USW00024127","2014-05","0","0.0","49.7"
"USW00024127","2014-06","0","0.0","56.4"
"USW00024127","2014-07","0","0.0","68.3"
"USW00024127","2014-08","0","0.0","62.5"
"USW00024127","2014-09","0","0.0","58.2"
"USW00024127","2014-10","0","0.0","44.4"
"USW00024127","2014-11","15","0.8","31.5"
"USW00024127","2014-12","18","5.7","29.4"
"USW00024127","2015-01","26","0.3","26.7"
"USW00024127","2015-02","14","0.0","34.0"
"USW00024127","2015-03","9","2.8","37.9"
"USW00024127","2015-04","3","5.8","41.0"
"USW00024127","2015-05","0","0.0","50.8"
"USW00024127","2015-06","0","0.0","64.5"
"USW00024127","2015-07","0","0.0","65.5"
"USW00024127","2015-08","0","0.0","65.2"
"USW00024127","2015-09","0","0.0","58.5"
"USW00024127","2015-10","0","0.0","50.2"
"USW00024127","2015-11","18","1.4","30.8"
"USW00024127","2015-12","26","15.9","24.0"
"USW00024127","2016-01","30","10.6","24.1"
"USW00024127","2016-02","21","3.8","28.6"
"USW00024127","2016-03","5","2.7","37.4"
"USW00024127","2016-04","0","0.0","44.9"
"USW00024127","2016-05","0","0.0","50.6"
"USW00024127","2016-06","0","0.0","64.0"
"USW00024127","2016-07","0","0.0","70.0"
"USW00024127","2016-08","0","0.0","66.9"
"USW00024127","2016-09","0","0.0","55.2"
"USW00024127","2016-10","0","0.0","46.9"
"USW00024127","2016-11","7","5.7","37.0"
"USW00024127","2016-12","31","11.1","22.5"
"USW00024127","2017-01","28","23.2","21.0"
"USW00024127","2017-02","17","6.7","31.5"
"USW00024127","2017-03","6","3.6","39.7"
"USW00024127","2017-04","0","1.0","40.6"
"USW00024127","2017-05","0","0.1","51.1"
"USW00024127","2017-06","0","0.0","62.8"
"USW00024127","2017-07","0","0.0","72.9"
"USW00024127","2017-08","0","0.0","69.3"
"USW00024127","2017-09","0","0.0","56.0"
"USW00024127","2017-10","1","0.0","40.5"
"USW00024127","2017-11","9","0.0","37.7"
"USW00024127","2017-12","29","7.7","25.0"
"USW00024127","2018-01","20","9.6","30.3"
"USW00024127","2018-02","18","8.8","30.2"
